SYMBOL,SECTOR
CHEVIOT,Other/SmallCap
CHOICEIN,Other/SmallCap
CHOLAFIN,Other/SmallCap
CHOLAHLDNG,Other/SmallCap
CIEINDIA,Other/SmallCap
CIFL,Other/SmallCap
CIGNITITEC,Other/SmallCap
CINELINE,Other/SmallCap
CINEVISTA,Other/SmallCap
CIPLA,Other/SmallCap
CLCIND,Other/SmallCap
CLEAN,Other/SmallCap
CLEANMAX,Other/SmallCap
CLEDUCATE,Other/SmallCap
CLSEL,Other/SmallCap
CMPDI,Other/SmallCap
CMSINFO,Other/SmallCap
CNL,Other/SmallCap
COALINDIA,Other/SmallCap
COASTCORP,Other/SmallCap
COCHINSHIP,Other/SmallCap
COFFEEDAY,Other/SmallCap
COFORGE,Other/SmallCap
COHANCE,Other/SmallCap
COLPAL,Other/SmallCap
COMPINFO,Other/SmallCap
COMPUSOFT,Other/SmallCap
COMSYN,Other/SmallCap
CONCOR,Other/SmallCap
CONCORDBIO,Other/SmallCap
CONFIPET,Other/SmallCap
CONSOFINVT,Other/SmallCap
CONTROLPR,Other/SmallCap
CORALFINAC,Other/SmallCap
CORDSCABLE,Other/SmallCap
COROMANDEL,Other/SmallCap
CORONA,Other/SmallCap
COSMOFIRST,Other/SmallCap
COUNCODOS,Other/SmallCap
CPCAP,Other/SmallCap
CPEDU,Other/SmallCap
CPPLUS,Other/SmallCap
CRAFTSMAN,Other/SmallCap
CRAMC,Other/SmallCap
CREATIVEYE,Other/SmallCap
CREDITACC,Other/SmallCap
CREST,Other/SmallCap
CRISIL,Other/SmallCap
CRIZAC,Other/SmallCap
CROMPTON,Other/SmallCap
CROWN,Other/SmallCap
CSBBANK,Other/SmallCap
CSLFINANCE,Other/SmallCap
CTE,Other/SmallCap
CUB,Other/SmallCap
CUBEXTUB,Other/SmallCap
CUMMINSIND,Other/SmallCap
CUPID,Other/SmallCap
CURAA,Other/SmallCap
CYBERMEDIA,Other/SmallCap
CYBERTECH,Other/SmallCap
CYIENT,Other/SmallCap
CYIENTDLM,Other/SmallCap
DABUR,Other/SmallCap
DALBHARAT,Other/SmallCap
DALMIASUG,Other/SmallCap
DAMCAPITAL,Other/SmallCap
DAMODARIND,Other/SmallCap
DANGEE,Other/SmallCap
DATAMATICS,Other/SmallCap
DATAPATTNS,Other/SmallCap
DAVANGERE,Other/SmallCap
DBCORP,Other/SmallCap
DBEIL,Other/SmallCap
DBL,Other/SmallCap
DBOL,Other/SmallCap
DBREALTY,Other/SmallCap
DBSTOCKBRO,Other/SmallCap
DCAL,Other/SmallCap
DCBBANK,Other/SmallCap
DCI,Other/SmallCap
DCM,Other/SmallCap
DCMFINSERV,Other/SmallCap
DCMNVL,Other/SmallCap
DCMSHRIRAM,Other/SmallCap
DCMSIL,Other/SmallCap
DCMSRIND,Other/SmallCap
DCW,Other/SmallCap
DCXINDIA,Other/SmallCap
DDEVPLSTIK,Other/SmallCap
DECCANCE,Other/SmallCap
DEEDEV,Other/SmallCap
DEEPAKFERT,Other/SmallCap
DEEPAKNTR,Other/SmallCap
DEEPINDS,Other/SmallCap
DELHIVERY,Other/SmallCap
DELPHIFX,Other/SmallCap
DELTACORP,Other/SmallCap
DELTAMAGNT,Other/SmallCap
DEN,Other/SmallCap
DENORA,Other/SmallCap
DENTA,Other/SmallCap
DEVIT,Other/SmallCap
DEVX,Other/SmallCap
DEVYANI,Other/SmallCap
DGCONTENT,Other/SmallCap
DHAMPURSUG,Other/SmallCap
DHANBANK,Other/SmallCap
DHANUKA,Other/SmallCap
DHARAN,Other/SmallCap
DHARMAJ,Other/SmallCap
DHRUV,Other/SmallCap
DHUNINV,Other/SmallCap
DIACABS,Other/SmallCap
DIAMINESQ,Other/SmallCap
DIAMONDYD,Other/SmallCap
DICIND,Other/SmallCap
DIFFNKG,Other/SmallCap
DIGIDRIVE,Other/SmallCap
DIGISPICE,Other/SmallCap
DIGITIDE,Other/SmallCap
DIGJAMLMTD,Other/SmallCap
DISHTV,Other/SmallCap
DIVGIITTS,Other/SmallCap
DIVISLAB,Other/SmallCap
DIXON,Other/SmallCap
DJML,Other/SmallCap
DLF,Other/SmallCap
DLINKINDIA,Other/SmallCap
DMART,Other/SmallCap
DMCC,Other/SmallCap
DNAMEDIA,Other/SmallCap
DODLA,Other/SmallCap
DOLATALGO,Other/SmallCap
DOLLAR,Other/SmallCap
DOLPHIN,Other/SmallCap
DOMS,Other/SmallCap
DONEAR,Other/SmallCap
DPABHUSHAN,Other/SmallCap
DPSCLTD,Other/SmallCap
DPWIRES,Other/SmallCap
DRCSYSTEMS,Other/SmallCap
DREAMFOLKS,Other/SmallCap
DREDGECORP,Other/SmallCap
DRREDDY,Other/SmallCap
DSFCL,Other/SmallCap
DSSL,Other/SmallCap
DTIL,Other/SmallCap
DUCON,Other/SmallCap
DVL,Other/SmallCap
DWARKESH,Other/SmallCap
DYCL,Other/SmallCap
DYNAMATECH,Other/SmallCap
DYNPRO,Other/SmallCap
E2E,Other/SmallCap
EASEMYTRIP,Other/SmallCap
EASTSILK,Other/SmallCap
EBGNG,Other/SmallCap
ECLERX,Other/SmallCap
ECOSMOBLTY,Other/SmallCap
EDELWEISS,Other/SmallCap
EFCIL,Other/SmallCap
EICHERMOT,Other/SmallCap
EIDPARRY,Other/SmallCap
EIEL,Other/SmallCap
EIFFL,Other/SmallCap
EIHAHOTELS,Other/SmallCap
EIHOTEL,Other/SmallCap
EIMCOELECO,Other/SmallCap
EKC,Other/SmallCap
ELDEHSG,Other/SmallCap
ELECON,Other/SmallCap
ELECTCAST,Other/SmallCap
ELECTHERM,Other/SmallCap
ELGIEQUIP,Other/SmallCap
ELGIRUBCO,Other/SmallCap
ELIN,Other/SmallCap
ELLEN,Other/SmallCap
EMAMILTD,Other/SmallCap
EMAMIPAP,Other/SmallCap
EMAMIREAL,Other/SmallCap
EMBDL,Other/SmallCap
EMCURE,Other/SmallCap
EMIL,Other/SmallCap
EMKAY,Other/SmallCap
EMMBI,Other/SmallCap
EMMVEE,Other/SmallCap
EMSLIMITED,Other/SmallCap
EMUDHRA,Other/SmallCap
ENDURANCE,Other/SmallCap
ENERGYDEV,Other/SmallCap
ENGINERSIN,Other/SmallCap
ENIL,Other/SmallCap
ENRIN,Other/SmallCap
ENTERO,Other/SmallCap
EPACK,Other/SmallCap
EPACKPEB,Other/SmallCap
EPIGRAL,Other/SmallCap
EPL,Other/SmallCap
EQUIPPP,Other/SmallCap
EQUITASBNK,Other/SmallCap
ERIS,Other/SmallCap
ESABINDIA,Other/SmallCap
ESAFSFB,Other/SmallCap
ESCORTS,Other/SmallCap
ESSARSHPNG,Other/SmallCap
ESSENTIA,Other/SmallCap
ESTER,Other/SmallCap
ETERNAL,Other/SmallCap
ETHOSLTD,Other/SmallCap
EUREKAFORB,Other/SmallCap
EUROBOND,Other/SmallCap
EUROPRATIK,Other/SmallCap
EUROTEXIND,Other/SmallCap
EVEREADY,Other/SmallCap
EVERESTIND,Other/SmallCap
EXCELINDUS,Other/SmallCap
EXCELSOFT,Other/SmallCap
EXICOM,Other/SmallCap
EXIDEIND,Other/SmallCap
EXPLEOSOL,Other/SmallCap
EXXARO,Other/SmallCap
FABTECH,Other/SmallCap
FACT,Other/SmallCap
FAIRCHEMOR,Other/SmallCap
FAZE3Q,Other/SmallCap
FCL,Other/SmallCap
FCSSOFT,Other/SmallCap
FDC,Other/SmallCap
FEDERALBNK,Other/SmallCap
FEDFINA,Other/SmallCap
FEL,Other/SmallCap
FELDVR,Other/SmallCap
FIBERWEB,Other/SmallCap
FIEMIND,Other/SmallCap
FILATEX,Other/SmallCap
FILATFASH,Other/SmallCap
FINCABLES,Other/SmallCap
FINEORG,Other/SmallCap
FINKURVE,Other/SmallCap
FINOPB,Other/SmallCap
FINPIPE,Other/SmallCap
FIRSTCRY,Other/SmallCap
FISCHER,Other/SmallCap
FIVESTAR,Other/SmallCap
FLAIR,Other/SmallCap
FLEXITUFF,Other/SmallCap
FLFL,Other/SmallCap
FLUOROCHEM,Other/SmallCap
FMGOETZE,Other/SmallCap
FMNL,Other/SmallCap
FOCUS,Other/SmallCap
FOODSIN,Other/SmallCap
FORCEMOT,Other/SmallCap
FORTIS,Other/SmallCap
FOSECOIND,Other/SmallCap
FRACTAL,Other/SmallCap
FSL,Other/SmallCap
FUSION,Other/SmallCap
GABRIEL,Other/SmallCap
GAEL,Other/SmallCap
GAIL,Other/SmallCap
GALAPREC,Other/SmallCap
GALAXYSURF,Other/SmallCap
GALLANTT,Other/SmallCap
GANDHAR,Other/SmallCap
GANDHITUBE,Other/SmallCap
GANECOS,Other/SmallCap
GANESHBE,Other/SmallCap
GANESHCP,Other/SmallCap
GANESHHOU,Other/SmallCap
GANGAFORGE,Other/SmallCap
GANGESSECU,Other/SmallCap
GARFIBRES,Other/SmallCap
GARUDA,Other/SmallCap
GATECH,Other/SmallCap
GATECHDVR,Other/SmallCap
GATEWAY,Other/SmallCap
GAUDIUMIVF,Other/SmallCap
GAYAHWS,Other/SmallCap
GCSL,Other/SmallCap
GEECEE,Other/SmallCap
GEEKAYWIRE,Other/SmallCap
GEMAROMA,Other/SmallCap
GENCON,Other/SmallCap
GENESYS,Other/SmallCap
GENSOL,Other/SmallCap
GENUSPAPER,Other/SmallCap
GENUSPOWER,Other/SmallCap
GEOJITFSL,Other/SmallCap
GESHIP,Other/SmallCap
GFLLIMITED,Other/SmallCap
GHCL,Other/SmallCap
GHCLTEXTIL,Other/SmallCap
GICHSGFIN,Other/SmallCap
GICL,Other/SmallCap
GICRE,Other/SmallCap
GILLANDERS,Other/SmallCap
GILLETTE,Other/SmallCap
GINNIFILA,Other/SmallCap
GIPCL,Other/SmallCap
GKENERGY,Other/SmallCap
GKSL,Other/SmallCap
GKWLIMITED,Other/SmallCap
GLAND,Other/SmallCap
GLAXO,Other/SmallCap
GLENMARK,Other/SmallCap
GLFL,Other/SmallCap
GLOBAL,Other/SmallCap
GLOBALE,Other/SmallCap
GLOBALVECT,Other/SmallCap
GLOBE,Other/SmallCap
GLOBECIVIL,Other/SmallCap
GLOBUSSPR,Other/SmallCap
GLOSTERLTD,Other/SmallCap
GLOTTIS,Other/SmallCap
GMBREW,Other/SmallCap
GMDCLTD,Other/SmallCap
GMMPFAUDLR,Other/SmallCap
GMRAIRPORT,Other/SmallCap
GMRP&UI,Other/SmallCap
GNA,Other/SmallCap
GNFC,Other/SmallCap
GOACARBON,Other/SmallCap
GOCLCORP,Other/SmallCap
GOCOLORS,Other/SmallCap
GODAVARIB,Other/SmallCap
GODFRYPHLP,Other/SmallCap
GODIGIT,Other/SmallCap
GODREJAGRO,Other/SmallCap
GODREJCP,Other/SmallCap
GODREJIND,Other/SmallCap
GODREJPROP,Other/SmallCap
GOKEX,Other/SmallCap
GOKUL,Other/SmallCap
GOKULAGRO,Other/SmallCap
GOLDENTOBC,Other/SmallCap
GOLDIAM,Other/SmallCap
GOLDTECH,Other/SmallCap
GOODLUCK,Other/SmallCap
GOPAL,Other/SmallCap
GOYALALUM,Other/SmallCap
GPIL,Other/SmallCap
GPPL,Other/SmallCap
GPTHEALTH,Other/SmallCap
GPTINFRA,Other/SmallCap
GRANULES,Other/SmallCap
GRAPHITE,Other/SmallCap
GRASIM,Other/SmallCap
GRAVITA,Other/SmallCap
GREAVESCOT,Other/SmallCap
GREENLAM,Other/SmallCap
GREENPANEL,Other/SmallCap
GREENPLY,Other/SmallCap
GREENPOWER,Other/SmallCap
GRINDWELL,Other/SmallCap
GRINFRA,Other/SmallCap
GRMOVER,Other/SmallCap
GROBTEA,Other/SmallCap
GROWW,Other/SmallCap
GRPLTD,Other/SmallCap
GRSE,Other/SmallCap
GRWRHITECH,Other/SmallCap
GSFC,Other/SmallCap
GSLSU,Other/SmallCap
GSPCROP,Other/SmallCap
GSPL,Other/SmallCap
GSS,Other/SmallCap
GTECJAINX,Other/SmallCap
GTL,Other/SmallCap
GTLINFRA,Other/SmallCap
GTPL,Other/SmallCap
GUFICBIO,Other/SmallCap
GUJALKALI,Other/SmallCap
GUJAPOLLO,Other/SmallCap
GUJGASLTD,Other/SmallCap
GUJRAFFIA,Other/SmallCap
GUJTHEM,Other/SmallCap
GULFOILLUB,Other/SmallCap
GULFPETRO,Other/SmallCap
GULPOLY,Other/SmallCap
GVKPIL,Other/SmallCap
GVPIL,Other/SmallCap
GVPTECH,Other/SmallCap
GVT&D,Other/SmallCap
HAL,Other/SmallCap
HALDER,Other/SmallCap
HALEOSLABS,Other/SmallCap
HAPPSTMNDS,Other/SmallCap
HAPPYFORGE,Other/SmallCap
HARDWYN,Other/SmallCap
HARIOMPIPE,Other/SmallCap
HARRMALAYA,Other/SmallCap
HARSHA,Other/SmallCap
HATHWAY,Other/SmallCap
HATSUN,Other/SmallCap
HAVELLS,Other/SmallCap
HAVISHA,Other/SmallCap
HBLENGINE,Other/SmallCap
HBSL,Other/SmallCap
HCC,Other/SmallCap
HCG,Other/SmallCap
HCL-INSYS,Other/SmallCap
HCLTECH,Other/SmallCap
HDBFS,Other/SmallCap
HDFCAMC,Other/SmallCap
HDFCBANK,Other/SmallCap
HDFCLIFE,Other/SmallCap
HDIL,Other/SmallCap
HEADSUP,Other/SmallCap
HECPROJECT,Other/SmallCap
HEG,Other/SmallCap
HEIDELBERG,Other/SmallCap
HEMIPROP,Other/SmallCap
HERANBA,Other/SmallCap
HERITGFOOD,Other/SmallCap
HEROMOTOCO,Other/SmallCap
HESTERBIO,Other/SmallCap
HEXATRADEX,Other/SmallCap
HEXT,Other/SmallCap
HFCL,Other/SmallCap
HGINFRA,Other/SmallCap
HGM,Other/SmallCap
HGS,Other/SmallCap
HIKAL,Other/SmallCap
HILINFRA,Other/SmallCap
HILTON,Other/SmallCap
HIMATSEIDE,Other/SmallCap
HINDALCO,Other/SmallCap
HINDCOMPOS,Other/SmallCap
HINDCON,Other/SmallCap
HINDCOPPER,Other/SmallCap
HINDOILEXP,Other/SmallCap
HINDPETRO,Other/SmallCap
HINDUNILVR,Other/SmallCap
HINDWAREAP,Other/SmallCap
HINDZINC,Other/SmallCap
HIRECT,Other/SmallCap
HISARMETAL,Other/SmallCap
HITECH,Other/SmallCap
HITECHCORP,Other/SmallCap
HITECHGEAR,Other/SmallCap
HLEGLAS,Other/SmallCap
HLVLTD,Other/SmallCap
HMAAGRO,Other/SmallCap
HMT,Other/SmallCap
HMVL,Other/SmallCap
HNDFDS,Other/SmallCap
HOMEFIRST,Other/SmallCap
HONASA,Other/SmallCap
HONAUT,Other/SmallCap
